Date,Description,Supplier / Customer,Amount AED,Transaction Type
05-01-2025,IT consulting services rendered to Dubai client,Tech Solutions LLC,45000,sale
08-01-2025,Office furniture and equipment purchase,IKEA Dubai,12500,purchase
10-01-2025,Export of electronics to KSA customer,Riyadh Electronics Co,180000,sale
12-01-2025,Monthly office rent DIFC Tower,DIFC Investments LLC,62500,purchase
15-01-2025,Cloud software licence AWS Ireland,Amazon Web Services EMEA,28000,purchase
18-01-2025,Legal advisory fees from UK law firm,Clifford Chance LLP,95000,purchase
20-01-2025,Residential villa lease Abu Dhabi,Abu Dhabi Properties,120000,sale
22-01-2025,Staff training workshop fees,Gulf Training Institute,8500,sale
25-01-2025,Marketing agency retainer January,Creative Hub DMCC,15000,purchase
28-01-2025,Dividend received from subsidiary,GulfTax Holdings Ltd,250000,sale
02-02-2025,Accounting software annual licence,Xero Australia Pty,9800,purchase
05-02-2025,Freight forwarding sea cargo to UK,Global Freight DMCC,35000,sale
08-02-2025,Laptop computers 5 units,Jumbo Electronics LLC,27500,purchase
12-02-2025,VAT advisory consulting services,Tax Advisory FZE,22000,sale
15-02-2025,Catering for client entertainment,Nobu Restaurant DIFC,6500,purchase
18-02-2025,Bank interest received on deposit,Emirates NBD,18000,sale
20-02-2025,Salary payments February 2025,Employees Payroll,320000,purchase
22-02-2025,Air freight export to Germany,DHL Express UAE,42000,sale
25-02-2025,Medical equipment supply to clinic,MedTech Supplies LLC,55000,sale
28-02-2025,Bare land sale Al Ain,Al Ain Land Authority,400000,sale
